vertikal,kalem_id,kalem_adi,grup,birim,ekonomik_tl,orta_tl,ust_tl,en_dusuk_tl,en_yuksek_tl,urun_sayisi,kaynak_sayisi,kaynaklar,olcum_tarihi
dugun,alyans,Alyans,,sabit,8528,16045,21270,1107,21460,27,2,atasay; trendyol,2026-08-05
dugun,damatlik,Damatlık / Takım Elbise,,sabit,23799,47950,83970,2508,164950,98,3,beymen; trendyol; vakko,2026-08-05
dugun,davetiye,Davetiye,,sabit,150,254,1203,92,3274,30,2,amazon; trendyol,2026-08-05
dugun,salon-kokteyl,Düğün Salonu — kokteyl (yemeksiz),,kisi_basi,500,800,1245,250,1500,10,1,dugunbuketi,2026-08-05
dugun,salon-yemekli,Düğün Salonu — yemekli (menü dahil),,kisi_basi,750,1000,1625,750,1750,10,1,dugunbuketi,2026-08-05
dugun,fotografci,Fotoğraf ve Video,,sabit,15000,15000,15000,15000,15000,1,1,dugun-com,2026-08-05
dugun,gelin-arabasi,Gelin Arabası,,sabit,9300,9300,9300,9300,9300,1,1,dugun-com,2026-08-05
dugun,gelin-ayakkabisi,"Gelin Ayakkabısı, Duvak, Aksesuar",,sabit,708,1550,4500,590,6250,50,2,amazon; trendyol,2026-08-05
dugun,gelinlik,Gelinlik,,sabit,3704,18172,43839,2250,65000,20,1,trendyol,2026-08-05
dugun,kuafor-makyaj,Kuaför ve Makyaj,,sabit,12600,12600,12600,12600,12600,1,1,dugun-com,2026-08-05
dugun,nikah-sekeri,Nikah Şekeri,,sabit,250,462,714,169,980,30,2,amazon; trendyol,2026-08-05
dugun,organizasyon,Organizasyon / Süsleme,,sabit,16550,16550,16550,16550,16550,1,1,dugun-com,2026-08-05
dugun,taki-altin,Takı — Altın Bilezik (1 adet),,sabit,33085,85022,180340,30600,243765,24,1,atasay,2026-08-05
dugun,yemek-ikram,Yemek / İkram (mekanın menü bedeli),,kisi_basi,200,250,710,150,920,10,1,dugunbuketi,2026-08-05
dugun,salon,salon,,,320,525,775,200,800,9,1,dugunbuketi,2026-08-05
ev-kurma,firin-ocak,Ankastre Fırın / Ocak Seti,Beyaz eşya,sabit,7599,16784,38714,3719,53528,48,3,amazon; mediamarkt; trendyol,2026-08-09
ev-kurma,bulasik-makinesi,Bulaşık Makinesi,Beyaz eşya,sabit,15749,23899,32499,4497,54778,54,3,amazon; mediamarkt; trendyol,2026-08-09
ev-kurma,buzdolabi,Buzdolabı,Beyaz eşya,sabit,9000,29168,59899,4880,74799,57,3,amazon; mediamarkt; trendyol,2026-08-09
ev-kurma,davlumbaz,Davlumbaz,Beyaz eşya,sabit,2980,4023,5902,2199,14999,49,3,amazon; mediamarkt; trendyol,2026-08-09
ev-kurma,klima,Klima,Beyaz eşya,sabit,19962,32400,40500,5990,64345,56,3,amazon; mediamarkt; trendyol,2026-08-09
ev-kurma,kurutma-makinesi,Kurutma Makinesi,Beyaz eşya,sabit,16027,18972,28000,2999,65999,51,3,amazon; mediamarkt; trendyol,2026-08-09
ev-kurma,mikrodalga,Mikrodalga Fırın,Beyaz eşya,sabit,3369,5058,7757,1400,17999,69,3,amazon; mediamarkt; trendyol,2026-08-09
ev-kurma,camasir-makinesi,Çamaşır Makinesi,Beyaz eşya,sabit,22499,27499,42499,11699,61999,52,3,amazon; mediamarkt; trendyol,2026-08-09
ev-kurma,dikey-supurge,Dikey Süpürge,Elektronik,sabit,1799,9640,16499,933,36999,79,3,amazon; mediamarkt; trendyol,2026-08-09
ev-kurma,supurge,Robot Süpürge,Elektronik,sabit,8649,20963,39434,3499,58999,69,3,amazon; mediamarkt; trendyol,2026-08-09
ev-kurma,televizyon,Televizyon (4K),Elektronik,sabit,19999,37724,61740,6199,99999,63,3,amazon; mediamarkt; trendyol,2026-08-09
ev-kurma,airfryer,Airfryer,Küçük ev aleti,sabit,1849,3424,5499,1007,15999,66,3,amazon; mediamarkt; trendyol,2026-08-09
ev-kurma,blender,Blender,Küçük ev aleti,sabit,1258,3328,8099,939,11629,69,3,amazon; mediamarkt; trendyol,2026-08-09
ev-kurma,kahve-makinesi,Kahve Makinesi,Küçük ev aleti,sabit,1099,3420,9699,319,30999,84,3,amazon; mediamarkt; trendyol,2026-08-09
ev-kurma,mutfak-robotu,Mutfak Robotu / Doğrayıcı,Küçük ev aleti,sabit,1690,2854,5674,1058,10999,56,2,amazon; trendyol,2026-08-09
ev-kurma,sac-kurutma-makinesi,Saç Kurutma Makinesi,Küçük ev aleti,sabit,823,1339,2161,430,24999,72,3,amazon; mediamarkt; trendyol,2026-08-09
ev-kurma,su-isitici,Su Isıtıcı (Kettle),Küçük ev aleti,sabit,584,1324,2148,359,3899,65,2,amazon; trendyol,2026-08-09
ev-kurma,tost-makinesi,Tost Makinesi,Küçük ev aleti,sabit,2225,3699,5649,699,10499,77,3,amazon; mediamarkt; trendyol,2026-08-09
ev-kurma,utu,Ütü,Küçük ev aleti,sabit,1355,3199,6598,749,22999,86,3,amazon; mediamarkt; trendyol,2026-08-09
ev-kurma,koltuk-takimi,Koltuk Takımı,Mobilya,sabit,23012,34999,54869,6599,87270,129,5,amazon; bellona; dogtas; istikbal; trendyol,2026-08-09
ev-kurma,konsol,Konsol,Mobilya,sabit,2811,5304,7087,900,9900,64,2,amazon; trendyol,2026-08-09
ev-kurma,sehpa,Orta Sehpa,Mobilya,sabit,1456,2544,3250,999,5990,66,2,amazon; trendyol,2026-08-09
ev-kurma,tv-unitesi,TV Ünitesi,Mobilya,sabit,2674,5364,7426,1240,10399,57,2,amazon; trendyol,2026-08-09
ev-kurma,yemek-masasi,Yemek Odası Takımı,Mobilya,sabit,19139,22930,32695,3450,83852,69,3,amazon; dogtas; trendyol,2026-08-09
ev-kurma,bardak-takimi,Bardak Takımı,Mutfak,sabit,204,376,937,102,1500,64,2,amazon; trendyol,2026-08-09
ev-kurma,kahvalti-takimi,Kahvaltı Takımı,Mutfak,sabit,708,1212,2437,230,3829,62,2,amazon; trendyol,2026-08-09
ev-kurma,tava-seti,Tava Seti,Mutfak,sabit,1836,3494,3499,310,4420,50,2,amazon; trendyol,2026-08-09
ev-kurma,tencere-seti,Tencere Seti,Mutfak,sabit,2294,3600,6861,1110,14999,122,4,amazon; karaca; madamecoco; trendyol,2026-08-09
ev-kurma,yemek-takimi,Yemek Takımı,Mutfak,sabit,1702,2719,4113,1308,6850,63,2,amazon; trendyol,2026-08-09
ev-kurma,catal-kasik-bicak-takimi,Çatal-Kaşık-Bıçak Takımı,Mutfak,sabit,894,2278,4792,550,6886,65,2,amazon; trendyol,2026-08-09
ev-kurma,aydinlatma,Avize / Aydınlatma,Tekstil,sabit,498,1078,2215,157,3799,70,2,amazon; trendyol,2026-08-09
ev-kurma,bornoz,Bornoz,Tekstil,sabit,624,900,1573,444,2350,81,2,amazon; trendyol,2026-08-09
ev-kurma,hali,Halı,Tekstil,sabit,2277,3540,2104,160,3184,47,2,amazon; trendyol,2026-08-09
ev-kurma,havlu-takimi,Havlu Takımı,Tekstil,sabit,364,555,937,225,1558,77,2,amazon; trendyol,2026-08-09
ev-kurma,nevresim-takimi,Nevresim Takımı,Tekstil,sabit,500,704,1000,265,3600,104,3,amazon; englishhome; trendyol,2026-08-09
ev-kurma,perde,Perde,Tekstil,sabit,263,513,898,126,1260,49,2,amazon; trendyol,2026-08-09
ev-kurma,boy-aynasi,Boy Aynası,Yatak odası,sabit,1606,3139,6353,270,8812,56,2,amazon; trendyol,2026-08-09
ev-kurma,gardirop,Gardırop,Yatak odası,sabit,4795,6245,9000,965,52805,82,3,amazon; dogtas; trendyol,2026-08-09
ev-kurma,karyola,Karyola / Baza,Yatak odası,sabit,3444,4965,7038,2499,10230,55,2,amazon; trendyol,2026-08-09
ev-kurma,komodin,Komodin,Yatak odası,sabit,861,1931,2900,449,4274,75,2,amazon; trendyol,2026-08-09
ev-kurma,yatak,Çift Kişilik Yatak,Yatak odası,sabit,5049,7999,12909,1049,25299,110,4,amazon; bellona; istikbal; trendyol,2026-08-09
ev-kurma,sifonyer,Şifonyer,Yatak odası,sabit,2202,4265,7079,1045,9990,63,2,amazon; trendyol,2026-08-09
okul,ayakkabi,Spor Ayakkabı,Giyim,sabit,778,1145,1512,435,2407,67,2,amazon; trendyol,2026-08-05
okul,ders-kitabi,Ders ve Yardımcı Kitap,Kitap,sabit,174,309,515,65,882,65,2,amazon; trendyol,2026-08-05
okul,sozluk,Sözlük,Kitap,sabit,126,269,735,56,1590,62,2,amazon; trendyol,2026-08-05
okul,boya-seti,Boya Seti,Kırtasiye,sabit,111,342,670,63,1310,93,3,amazon; nezih; trendyol,2026-08-05
okul,defter,Defter,Kırtasiye,sabit,154,288,400,40,1199,180,4,amazon; dr; nezih; trendyol,2026-08-05
okul,kalem,Kalem,Kırtasiye,sabit,82,164,424,33,589,69,2,amazon; trendyol,2026-08-05
okul,kalem-kutusu,Kalem Kutusu,Kırtasiye,sabit,260,610,830,80,1295,173,3,amazon; nezih; trendyol,2026-08-05
okul,resim-malzemeleri,Resim ve Sanat Malzemeleri,Kırtasiye,sabit,132,383,572,70,900,63,2,amazon; trendyol,2026-08-05
okul,tablet,Tablet,Teknoloji,sabit,4752,10980,17192,2457,38779,64,2,amazon; trendyol,2026-08-05
okul,calisma-masasi,Çalışma Masası,Çalışma alanı,sabit,1444,2348,4554,1014,7599,64,2,amazon; trendyol,2026-08-05
okul,calisma-sandalyesi,Çalışma Sandalyesi,Çalışma alanı,sabit,2361,3819,6810,1509,10142,63,2,amazon; trendyol,2026-08-05
okul,beslenme-cantasi,Beslenme Çantası,Çanta ve beslenme,sabit,344,627,994,140,1850,81,2,amazon; trendyol,2026-08-05
okul,okul-cantasi,Okul Çantası,Çanta ve beslenme,sabit,900,1472,2399,470,4200,170,3,amazon; nezih; trendyol,2026-08-05
okul,matara,Suluk / Matara,Çanta ve beslenme,sabit,260,785,1538,75,2400,169,3,amazon; nezih; trendyol,2026-08-05
bebek,bebek-bezi,Bebek Bezi (aylık),Aylık sarf,sabit,286,592,940,160,1780,59,2,amazon; ebebek,2026-08-05
bebek,bebek-kuveti,Bebek Küveti,Bakım,sabit,750,1050,2336,500,3499,52,2,amazon; ebebek,2026-08-05
bebek,biberon-seti,Biberon Seti,Beslenme,sabit,400,1015,1899,199,2499,41,1,amazon,2026-08-05
bebek,gogus-pompasi,Göğüs Pompası,Beslenme,sabit,670,2336,4474,310,7000,50,2,amazon; ebebek,2026-08-05
bebek,mama-sandalyesi,Mama Sandalyesi,Beslenme,sabit,1438,1950,4745,350,24742,69,3,amazon; joker; trendyol,2026-08-05
bebek,uyku-tulumu,Uyku Tulumu,Tekstil,sabit,947,550,2750,314,3250,50,2,amazon; joker,2026-08-05
bebek,zibin-seti,Zıbın / Body Seti,Tekstil,sabit,339,550,825,180,1000,48,1,amazon,2026-08-05
bebek,bebek-arabasi,Bebek Arabası,Uyku ve taşıma,sabit,8350,15912,42149,2495,129990,109,4,amazon; ebebek; joker; trendyol,2026-08-05
bebek,besik,Beşik,Uyku ve taşıma,sabit,1599,5729,7300,876,28699,48,3,amazon; ebebek; trendyol,2026-08-05
bebek,oto-koltugu,Oto Koltuğu,Uyku ve taşıma,sabit,7196,14506,26041,840,44990,98,3,amazon; joker; trendyol,2026-08-05
